Epoch,Trial,Accuracy,Precision,Recall,F1_Score,ROC_AUC
5,1,0.668275081804866,0.7474100584903712,0.6332917387478415,0.6856348220097662,0.5967684972005228
5,2,0.6080108843533887,0.7780412634530517,0.6678451402037645,0.7187439834290718,0.6397530798259549
5,3,0.5986069266873194,0.6134497116538841,0.5864053187929551,0.5996227287422795,0.5929798719220937
10,1,0.5434099447551636,0.5671774779283303,0.7237069820483147,0.6359520368611656,0.6641063645317054
10,2,0.6004403297768949,0.596883955087282,0.5102886306397132,0.5501998514392566,0.6626002879859191
10,3,0.559502420300957,0.714745054955854,0.9468837795731602,0.8145988863507624,0.6467654818405612
15,1,0.6098449717810939,0.779926007560952,0.677442472831918,0.7250808704818225,0.6987030511643348
15,2,0.5421281104001154,0.6619021948238503,0.6650954267668394,0.6634949687650067,0.7398642934828368
15,3,0.5784328424245958,0.5603762626553824,0.805472329711586,0.660933541709624,0.7131185610935091
20,1,0.661744731377491,0.6986587734896325,0.8577432022743441,0.7700707439360645,0.7124465861150882
20,2,0.6874719945118832,0.7511657471595716,0.6150596465810018,0.6763331161731424,0.6606823205628456
20,3,0.6366555485058738,0.7198542398737366,0.7426953114244643,0.7310964177435093,0.6884905912228596
